pmid,year,journal,doi,title,abstract
16517249,2006,Progress in cardiovascular diseases,10.1016/j.pcad.2005.07.001,Natural and unnatural triggers of myocardial infarction.,"Previous analyses have suggested that factors that stimulate the sympathetic nervous system and catecholamine release can trigger acute myocardial infarction. The wake-up time, Mondays, winter season, physical exertion, emotional upset, overeating, lack of sleep, cocaine, marijuana, anger, and sexual activity are some of the more common triggers. Certain natural disasters such as earthquakes and blizzards have also been associated with an increase in cardiac events. Certain unnatural triggers may play a role including the Holiday season. Holiday season cardiac events peak on Christmas and New Year. A number of hypotheses have been raised to explain the increase in cardiac events during the holidays, including overeating, excessive use of salt and alcohol, exposure to particulates, from fireplaces, a delay in seeking medical help, anxiety or depression related to the holidays, and poorer staffing of health care facilities at this time. War has been associated with an increase in cardiac events. Data regarding an increase in cardiac events during the 9/11 terrorist attack have been mixed. Understanding the cause of cardiovascular triggers will help in developing potential therapies."
33320732,2022,Prehospital emergency care,10.1080/10903127.2020.1863533,STEMI Equivalents and Their Incidence during EMS Transport.,"Objective: The management of patients with ST-elevation myocardial infarction (STEMI) is time-critical, with a focus on early reperfusion to decrease morbidity and mortality. It is imperative that prehospital clinicians recognize STEMI early and initiate transport to hospitals capable of percutaneous coronary intervention (PCI) with a door-to-balloon time of ≤90 minutes. Three patterns have been identified as STEMI equivalents that also likely warrant prompt attention and potentially PCI: Wellens syndrome, De Winter T waves, and aVR ST elevation. The goal of our study was to assess the incidence of these findings in prehospital patients presenting with chest pain. Methods: We conducted a retrospective chart review from a large urban tertiary care emergency department. We reviewed the prehospital ECG, or ECG upon arrival, of 861 patients who were hospitalized and required cardiac catheterization between 4/10/18 and 5/7/19. Patients who had field catheterization lab activation by EMS for STEMI were excluded. If a prehospital ECG was not available for review, the first ECG obtained in the hospital was used as a proxy. Each ECG was screened for aVR elevation, De Winter T waves, and Wellens syndrome. Results: Of 278 charts with prehospital ECGs available, 12 met our criteria for STEMI equivalency (4.4%): 6 Wellens syndrome and 6 aVR STEMI. There were no cases of De Winters T waves. Of 573 charts with no prehospital ECG available, 27 had initial hospital ECGs that met our STEMI equivalent criteria (4.7%): 7 Wellens syndrome and 20 aVR STEMI. Again, there were no cases of De Winters T waves. Conclusions: These preliminary data suggest that there are significant numbers of patients whose prehospital ECG findings do not currently meet criteria for field activation of the cardiac catheterization lab, but who may require prompt catheterization. Further studies are needed to look at outcomes, but these results could support the need for further education of prehospital clinicians regarding recognition of these STEMI equivalents, as well as quality initiatives aimed at decreasing door-to-balloon time for patients with STEMI equivalents."
8225736,1993,International journal of epidemiology,10.1093/ije/22.4.632,"Seasons, temperature and coronary disease.","Using data from a community-based register of heart disease (the WHO MONICA Project) associations between daily temperature, rainfall and other seasonal effects were investigated in relation to fatal coronary events and non-fatal definite myocardial infarctions in an Australian population. Coronary events, both fatal and non-fatal, were 20-40% more likely to occur in winter and spring than at other times of the year. Coronary deaths were more likely to occur on days of low temperature (and to a much lesser extent, on days of high temperature). No differences were found between patterns of sudden and non-sudden deaths (those occurring later after the onset of symptoms) associated with weather conditions. Statistical models allowing simultaneously for longer-term seasonal effects and daily temperature effects suggested that both exist. These results suggest that avoiding temperature stress could lead to reductions in the annual peaks in coronary events."
40163801,2025,Environmental health perspectives,10.1289/EHP14677,"Seasonal Average Temperature Differences and CVD Incidence: Results from the US-Based Nurses' Health Study, Nurses' Health Study II, and the Health Professional Follow-Up Study.","Climate change is one of the greatest health threats facing humanity. Multiple studies have documented the impact of short-term temperature exposure on human health. However, long-term temperature exposures are far less studied. We examined whether exposures to higher or lower summer and winter average temperatures compared to long-term average temperatures were associated with cardiovascular disease (CVD) incidence in three US-based cohorts. We followed 276,618 participants from the Nurses' Health Study (NHS) (1991-2018), the Nurses' Health Study II (NHSII) (1994-2017), and the Health Professionals' Follow-Up Study (1991-2015). We used data (1986-2018) from PRISM Spatial Climate Datasets (800-×800-m spatial resolution) to calculate differences between the summer (June-August) and winter (December-February) average temperatures and the previous 5-year summer and winter average temperatures at residential addresses of each participant. CVD incidence was defined as first nonfatal or fatal myocardial infarction (MI) or nonfatal or fatal stroke. Cox proportional hazard models were used to examine associations with between average temperatures and CVD incidence. Hazard ratios (HRs) and 95% confidence intervals (95% CI) were pooled using random effect meta-analysis. We also examined associations in the populations <65 and 65+ years of age. After pooling HRs, we found no association of summer average temperatures higher than the previous 5-year average temperature, with CVD incidence. A winter average temperature lower than the previous 5-year average was associated with CVD incidence (HR=0.95 per 2.7°C increase; 95% CI: 0.89, 1.01). Among persons <65 years of age, we observed increased CVD risks with higher summer average temperatures (pooled HR=1.03 per 1.3°C increase; 95% CI: 1.00, 1.07) and lower winter average temperatures (pooled HR=0.91 per 2.7°C increase; 95% CI: 0.87, 0.95) compared to the previous 5-year average temperature. Exposure to a winter average temperature lower than the previous 5-year average was suggestively associated with an increased CVD risk. Exposure to a summer average temperature higher than the previous 5-year average was associated with CVD incidence in the population <65 years of age but not in the full population. https://doi.org/10.1289/EHP14677."
38891972,2024,International journal of molecular sciences,10.3390/ijms25115786,"Coronary Plaque Erosion: Epidemiology, Diagnosis, and Treatment.","Plaque erosion (PE), a distinct etiology of acute coronary syndromes (ACSs), is often overshadowed by plaque ruptures (PRs). Concerning its epidemiology, PE has garnered increasing recognition, with recent studies revealing its prevalence to be approximately 40% among ACS patients, challenging earlier assumptions based on autopsy data. Notably, PE exhibits distinct epidemiological features, preferentially affecting younger demographics, particularly women, and often manifesting as a non-ST-segment elevation myocardial infarction. There are seasonal variations, with PE events being less common in winter, potentially linked to physiological changes and cholesterol solidification, while peaking in summer, warranting further investigation. Moving to molecular mechanisms, PE presents a unique profile characterized by a lesser degree of inflammation compared to PR, with endothelial shear stress emerging as a plausible molecular mechanism. Neutrophil activation, toll-like receptor-2 pathways, and hyaluronidase 2 expression are among the factors implicated in PE pathophysiology, underscoring its multifactorial nature. Advancements in intravascular imaging diagnostics, particularly optical coherence tomography and near-infrared spectroscopy coupled with intravascular ultrasound, offer unprecedented insights into plaque composition and morphology. Artificial intelligence algorithms show promise in enhancing diagnostic accuracy and streamlining image interpretation, augmenting clinician decision-making. Therapeutically, the management of PE evolves, with studies exploring less invasive approaches such as antithrombotic therapy without stenting, particularly in cases identified early through intravascular imaging. Additionally, the potential role of drug-coated balloons in reducing thrombus burden and minimizing future major adverse cardiovascular events warrants further investigation. Looking ahead, the integration of advanced imaging modalities, biomarkers, and artificial intelligence promises to revolutionize the diagnosis and treatment of coronary PE, ushering in a new era of personalized and precise cardiovascular care."
34426618,2021,Scientific reports,10.1038/s41598-021-96366-9,Association between winter cold spells and acute myocardial infarction in Lithuania 2000-2015.,"Acute myocardial infarction (AMI) is a major public health problem. Cold winter weather increases the risk of AMI, but factors influencing susceptibility are poorly known. We conducted an individual-level case-crossover study of the associations between winter cold spells and the risk of AMI, with special focus on survival at 28 days and effect modification by age and sex. All 16,071 adult cases of AMI among the residents of the city of Kaunas in Lithuania in 2000-2015 were included in the study. Cold weather was statistically defined using the 5th percentile of frequency distribution of daily mean temperatures over the winter months. According to conditional logistic regression controlling for time-varying and time-invariant confounders, each additional cold spell day during the week preceding AMI increased the risk of AMI by 5% (95% CI 1-9%). For nonfatal and fatal cases, the risk increase per each additional cold spell day was 5% (95% CI 1-9%) and 6% (95% CI - 2-13%), respectively. The effect estimate was greater for men (OR 1.07, 95% CI 1.02-1.12) than for women (OR 1.02, 95% CI 0.97-1.08), but there was no evidence of effect modification by age. Evidence on factors increasing susceptibility is critical for targeted cold weather planning."
12912809,2003,Circulation,10.1161/01.CIR.0000085992.67380.7B,Seasonal variation of fibrinogen in dipper and nondipper hypertensive patients.,"A seasonal variation with higher values in winter has been previously reported in plasma fibrinogen, a recognized marker of the potential risk of myocardial infarction and stroke. The lack of nocturnal decline in blood pressure has also been associated with an increase in cardiovascular events. Accordingly, we have compared the yearly variation of plasma fibrinogen in dipper and nondipper hypertensive patients. We studied 1006 stage 1 to 2 hypertensive patients (482 men and 524 women, 53.0+/-13.4 years of age). Blood pressure was measured every 20 minutes during the day and every 30 minutes at night for 48 consecutive hours. Physical activity was simultaneously evaluated at 1-minute intervals with a wrist actigraph. A blood sample was collected on the same day before starting blood pressure monitoring. The circannual variation of fibrinogen was established for all patients as well as for subgroups of dippers and nondippers (n=513; nocturnal blood pressure decline <10%) by multiple-component analysis. For the whole group of patients, fibrinogen was characterized by a highly significant seasonal variation (P<0.001) with a mean value of 318 mg/dL, double circannual amplitude (extent of predictable change along the year) of 40 mg/dL, and time of peak value in February. Throughout the year, the nondippers showed higher plasma fibrinogen levels than did the dippers (P<0.001). The elevated plasma fibrinogen levels in nondipper patients appear to be directly related to their increased risk in vascular events, which are more prominent during the late winter months."
36651684,2023,American journal of human biology : the official journal of the Human Biology Council,10.1002/ajhb.23867,Cardiovascular diseases display etiological and seasonal trend in human population: Evidence from seasonal cardiovascular comorbid diseases (SCCD) index.,"Seasonal changes in the human cardiovascular system are known to play an important role in the onset of many diseases. Confounding variables include behavioral and environmental factors; failing to address such variables makes measuring the true temporal impact of these diseases difficult. On the other hand, numerous clinical studies imply that only specific groups of people are more seasonal sensitive and that their maladaptation might contribute to various illnesses. As a result, it is critical to evaluate the etiological and seasonal sensitive patterns of cardiovascular diseases (CVD), which impact the majority of the human population. The hypothesis for this study formulated that cardiovascular and associated illnesses had substantial connections with seasonal and etiological variations. Thus in the present study, 4519 systematic screen-eligible studies were analyzed using data mining to uncover 852 disease association relationships between cardiovascular and associated disorders. A disease ontology-based semantic similarity network (DSN) analysis was performed to narrow down the identified CVDs. Further, topological analysis was used to predict the seven CVDs, including myocardial infarction (MI), in three clusters. Following that, Mann-Kendall and Cox-Stuart analyses were used to investigate the seasonal sensitivity and temporal relationship of these seven CVDs. Finally, temporal relationships were confirmed using LOESS and TBATS, as well as seasonal breakdown utilizing autocorrelation and fast Fourier transform results. The study provides indirect evidence of a severe etiological association among the three cardiovascular diseases, including MI, atrial fibrillation, and atherosclerosis, which are winter season sensitive in most of the world population. Hypertension has two seasonal falls and peaks due to its seasonal nature, that is, summer and winter hypertension. While, heart failure was also identified, with minor temporal trends. Hence, all five diseases could be classified as seasonal cardiovascular comorbid diseases (SCCD). Furthermore, these diseases could be studied for potential common risk factors such as biochemical, genetic, and physiological factors."
33967090,2021,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,10.11817/j.issn.1672-7347.2021.190588,Cognition and progress of de Winter electrocardiogram pattern.,"The de Winter electrocardiogram pattern is an acute ST-segment elevation myocardial infarction equivalent, however this specific electrocardiogram change is easily ignored by clinicians. The de Winter electrocardiogram pattern in patients with acute chest pain mostly indicates sub-complete or complete occlusion of the left anterior descending or the diagonal branch. Patients with acute chest pain and such electrocardiographic finding should undergo emergency coronary angiography immediately to determine the coronary condition, and reperfusion therapy should be performed as soon as possible to reduce the incidence of adverse cardiovascular events."
34331920,2021,Environmental research,10.1016/j.envres.2021.111691,Extreme temperature exposure and acute myocardial infarction: Elevated risk within hours?,"Day-to-day change in ambient temperature is associated with acute myocardial infarction (AMI) attacks, but evidence is scarce about the effects of extreme temperatures on the risk of AMI within hours of exposure. This study investigated the hour-level associations between extreme temperatures and AMI occurrence. State-wide data on AMI patients and temperature during winter and summer of 2013-2015 were obtained for Queensland state of Australia. We employed a fixed time-stratified case-crossover analysis to quantify the risk of AMI associated with temperature within 24 h after exposure. Subgroups analyses by age, gender and disease history were also conducted. We observed a very acute effect of cold on men (occurred 9-10 h after exposure), women (19-22 h after exposure), and the elderly (4-20 h after exposure). Cold was associated with elevated AMI risk for men within 9 h (OR = 2.1, 95 % CI: 1.2-3.6), women within 19 h (OR = 2.5, 95 % CI: 1.0-6.0), and the elderly within 4 h (OR: 2.0, 95 % CI: 1.0-4.0). However, elevated risk of AMI associated with heat occurred 15 h later for men (OR: 3.9; 95 % CI: 1.1-13.9) and 23 h later for adults (OR: 4.1, 95 % CI: 1.1-15.4). People never suffered AMI and the elderly with diabetes or hyperlipidaemia were particularly vulnerable to cold. Those that were particularly vulnerable to heat were men never experienced AMI or having hypertension or having hyperlipidaemia as well as women ever suffered AMI. Effects of temperature on AMI risk at sub-daily timescales should be considered to prevent cardiac events."
19829175,2009,Cardiology in review,10.1097/CRD.0b013e3181bdba75,Triggers and the onset of acute myocardial infarction.,"The onset of acute myocardial infarction (AMI) is a complex interplay of internal circadian factors and external physical and emotional triggers. These interactions may lead to rupture of an often nonocclusive vulnerable atherosclerotic coronary plaque with subsequent formation of an occlusive thrombus. The onset of AMI has a distinct pattern, with peak incidence within the first few hours after awakening, on certain days of the week, and in the winter months. Physical and emotional stresses are important triggers of acute cardiovascular events including AMI. Triggering events, internal changes, and external factors vary among different geographical, environmental, and ethnic regions. Life-style changes, pharmacotherapy, and psychologic interventions may potentially modify the response to, and protect against the effects of triggering events."
38246275,2025,Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese,10.1016/j.hjc.2024.01.006,Seasonal Variation in Sudden Cardiac Death: Insights from a Large United Kingdom Registry.,"Sudden cardiac death (SCD) is relatively common and may occur in apparently healthy individuals. The role of seasonal variation as a risk factor for SCD is poorly understood. The aim of this study was to investigate whether SCD exhibits a predilection for specific seasons. We reviewed a database of 4751 cases of SCD (mean age 38 ± 17 years) referred to our Center for Cardiac Pathology at St George's University of London between 2000 and 2018. Clinical information was obtained from referring coroners who were asked to complete a detailed questionnaire. All cases underwent macroscopic and histological evaluation of the heart, by expert cardiac pathologists. SCD was more common during winter (26%) and rarer during summer (24%), p = 0.161. Significant seasonal variation was not observed among cases of sudden arrhythmic death syndrome (SADS, 2910 cases) in which the heart is structurally normal. In contrast, a significant difference in seasonal distribution among decedents exhibiting cardiac structural abnormalities at the post-mortem examination (n = 1841) was observed. In this subgroup, SCDs occurred more frequently during winter (27 %) compared to summer (22%) (p = 0.007). In cases diagnosed with a myocardial disease (n = 1399), SCD was most common during the winter (27%) and least common during the summer (22%) (p = 0.027). While SADS occurs throughout the year with no seasonal variation, SCD due to structural heart disease appears to be more common during the winter. Bio-meteorological factors may be potential triggers of SCD in individuals with an underlying structural cardiac abnormality."
36991066,2023,Hypertension research : official journal of the Japanese Society of Hypertension,10.1038/s41440-023-01248-4,Cardiovascular physiological effects of balneotherapy: focused on seasonal differences.,"Hot water bathing has been demonstrated to be an effective way to improve people's cardiovascular health in many studies. This study focused on seasonal physiological changes to provide suggestions on bathing methods based on season for hot spring bathing. Volunteers were recruited to the program of hot spring bathing at 38-40 °C in New Taipei City. Cardiovascular function, blood oxygen, and ear temperature were observed. There were five assessments for each participant during the study process: baseline, bathing for 20 min and 2 cycles *20 (2*20) min, resting for 20 min and 2*20 min after bathing, respectively. Lower blood pressure (p < 0.001), pulse pressure (p < 0.001), left ventricular dP/dt Max (p < 0.001), and cardiac output (p < 0.05) were identified after bathing then rested for 2*20 min in four seasons, compared to baseline by paired T test. However, in multivariate linear regression model, potential risk for bathing in summer was assumed by higher heart rate (+28.4%, p < 0.001), cardiac output (+54.9%, p < 0.001) and left ventricular dP/dt Max (+27.6%, p < 0.05) during bathing at 2*20 min in summer. Potential risk for bathing in winter was postulated by blood pressure lowering (cSBP -10.0%; cDBP -22.1%, p < 0.001) during bathing at 2*20 min in winter. Hot spring bathing is shown to potentially improve cardiovascular function via reducing cardiac workload and vasodilation effects. Prolonged hot spring bathing in summer is not suggested due to significantly increased cardiac stress. In winter, prominent drop of blood pressure should be concerned. We demonstrated the study enrollment, the hot-spring contents and location, and physiological changes of general trends or seasonal variations, which may indicate potential benefits and risks during and after bathing. (Abbreviations: BP, blood pressure; PP, pulse pressure; LV, left ventricular; CO, cardiac output; HR, heart rate; cSBP, central systolic blood pressure; cDBP, central diastolic blood pressure)."
30429541,2019,Hypertension research : official journal of the Japanese Society of Hypertension,10.1038/s41440-018-0136-z,Health effects of seasonal variation in cardiovascular hemodynamics among workers in forest environments.,"Seasonal variation in cardiovascular functions (CVFs) associated with climatic changes is an important emerging public health issue. The objectives of this study were to demonstrate seasonal variation in CVFs by comparing intra-individual differences between winter and summer among people working in a forest environment and to discuss the possible mechanisms accounting for the health effects of seasonal variation in cardiovascular hemodynamics. A total of 72 staff members of the Experimental Forest of National Taiwan University were recruited for continuous health monitoring during two seasons to investigate the intra-individual seasonal variation in CVFs, complete blood counts, and biochemical examinations. CVFs were assessed by measuring the arterial pressure waveform by a cuff sphygmomanometer using an oscillometric blood pressure device, and aortic stiffness was measured by brachial-ankle pulse wave velocity (baPWV). The results showed that cholesterol levels, white and red blood cell counts, and platelet counts were higher in winter than in summer. Subjects showed not only higher vascular stress, as indicated by higher levels of brachial systolic and diastolic blood pressure (SBP and DBP), central end-SBP and DBP, systemic vascular resistance (SVR), and baPWV, but also lower cardiac activities, including lower levels of heart rate, left ventricular contractility, and cardiac output in winter than in summer. The central and brachial BP, cardiac output, SVR, and baPWV were significantly associated with temperature changes in seasonal variation after controlling related confounding factors. This study provides evidence of higher vascular stress and susceptibility to atherothrombosis during winter compared with summer."
41305336,2025,"Pathogens (Basel, Switzerland)",10.3390/pathogens14111098,Eighteen Years of Human Rhinovirus Surveillance in the Republic of Korea (2007-2024): Age- and Season-Specific Trends from a Single-Center Study with Public Health Implications.,"Human rhinovirus (HRV) is the most common cause of upper respiratory tract infections and can cause substantial morbidity in children. Because its clinical features are nonspecific, differentiation from influenza virus and respiratory syncytial virus is often difficult, underscoring the diagnostic importance of real-time reverse transcriptase polymerase chain reaction (Real-Time RT-PCR)-based detection. This study aimed to characterize long-term epidemiological patterns of HRV in the Republic of Korea and assess their clinical and public health implications. We retrospectively analyzed 23,284 nasopharyngeal swab specimens collected between 2007 and 2024 from outpatients and inpatients presenting with influenza-like illness at a tertiary care hospital. HRV RNA was detected by Real-Time RT-PCR, and positivity rates were compared by year, month, and age group. Annual detection peaked in 2015 (31.3%) and 2016 (28.6%), then dropped sharply during the COVID-19 pandemic (2020-2021, 4.2-11.0%) and remained low through 2024. Seasonally, rates were highest in July (24.4%) and September (24.1%) and lowest in January (6.9%). Age-specific analysis showed peak positivity in children (26.1%) and infants (20.3%), with lower rates in adults (3.9%) and older adults (3.3%). These findings underscore the diagnostic value of HRV detection and provide evidence for pediatric-focused prevention, outbreak preparedness, and climate-informed surveillance strategies."
31483570,2019,ESC heart failure,10.1002/ehf2.12506,Impact of environmental factors on heart failure decompensations.,"Heart failure (HF) is a clinical syndrome caused by a structural and/or functional cardiac abnormality, resulting in a reduced cardiac output and/or elevated intracardiac pressures at rest or during stress. This disease often causes decompensations, which may lead to hospital admissions, deteriorating patients' quality of life and causing an increment on the healthcare cost. Environmental exposure is an important but underappreciated risk factor contributing to the development and severity of cardiovascular diseases, such as HF. We used two different sets of data (January 2012 to August 2017): one related to the number of hospital admissions and the other one related to the environmental factors (weather and air quality). Admissions related data were grouped in weeks, and then two different studies were performed: (i) a univariate regression to determine whether the admissions may influence future hospitalizations prediction and (ii) a multivariate regression to determine the impact of environmental factors on admission rates. A total number of 8338 hospitalizations of 5343 different patients are available in this dataset, with a mean of 4.02 admissions per day. In European warm period (from June to October), there are significant less admissions than that in the cold period (from December to March), with a clear seasonality of admissions, because there is a similar pattern every year. Air temperature is the most significant environmental factor (r = -0.3794, P < 0.001) related to HF hospital admissions, showing an inversed correlation. Some other attributes, such as precipitation (r = 0.0795, P = 0.05), along with SO2 (precursor of acid rain) (r = 0.2692, P < 0.001) and NOX air (major air pollutant formed by combustion systems and motor vehicles) (r = 0.2196, P < 0.001) quality parameters, are also relevant. Humidity and PM10 parameters do not have significant correlations in this study (r = 0.0469 and r = -0.0485 respectively), neither relevant P-values (P = 0.238 and P = 0.324, respectively). Several environmental factors, such as weather temperature and precipitation, and major air pollutants, such as SO2 and NOX air, have an impact on the HF-related hospital admissions rate and, hence, on HF decompensations and patient's quality of life."
26921740,2016,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,10.1016/j.jcv.2016.02.014,Pulmonary and extrapulmonary complications of human rhinovirus infection in critically ill patients.,"Human rhinovirus (HRV) is frequently detected in patients with respiratory tract infection. However, the full clinical spectrum of HRV infection in critically ill patients is not well characterized. To evaluate the clinical and virological characteristics of critically ill patients with HRV infection. HRV-specific reverse transcription-polymerase chain reaction (RT-PCR) was performed on nasopharyngeal aspirate (NPA) specimens from 294 adult patients who required admission into the intensive care unit (ICU). Clinical characteristics were analyzed. HRV genotyping using the 5'UTR-VP4-VP2 region was performed. HRV was detected in NPA specimens of 22 patients (7.5%) by RT-PCR. Dyspnea was the most common presenting symptom (16/22; 72.7%), but seizure also occurred in 5 (22.7%) patients. Exacerbation of underlying disease occurred in 12 (54.5%) patients. Four (18.2%) patients died, and HRV was considered to play a role as the cause of death in 3 patients. Thirteen (59.1%) patients had pneumonia, and the most common radiological finding was consolidation (6/13; 46.2%). Streptococcus pneumoniae was the most common co-pathogen among patients with pneumonia. Among the 9 patients without pneumonia, 3 patients had exacerbation of underlying lung diseases, 3 patients had acute pulmonary edema, 2 patients with diabetes mellitus had acute complications from poor glycemic control, and 1 patient had status epilepticus. HRV-A was the most common species (64.3%), but there was no clear relationship between HRV species and clinical presentation. Both pulmonary and extrapulmonary complications of HRV were common in critically ill patients."
22578087,2012,"Clinical and experimental hypertension (New York, N.Y. : 1993)",10.3109/10641963.2012.681086,Daily serial hemodynamic data during pregnancy and seasonal variation: the BOSHI study.,"Although there are some reports that low plasma volume or increased cardiac output is associated with developing preeclampsia, there are few reports of daily serial hemodynamic data during pregnancy. A total of 37,092 home blood pressure (BP) and heart rate (HR) measurements were obtained from 425 normal pregnant women. Heart rate and shock index (SI) gradually increased by gestational week 32 and then decreased, whereas double product (DP) increased linearly during pregnancy. Although systolic BP and DP were consistently and negatively correlated with daily minimum outside temperature, HR and SI were positively correlated with minimum outside temperature in summer."
21348956,2011,Clinical and translational science,10.1111/j.1752-8062.2010.00257.x,"Impact of pollution, climate, and sociodemographic factors on spatiotemporal dynamics of seasonal respiratory viruses.","Seasonal viruses present a major cause of morbidity and mortality in temperate climates. Through major pandemics and smaller annual epidemics, viruses such as influenza, respiratory syncytial virus (RSV) and human rhinovirus (HRV) result in lost school and work days for most that are infected and more serious complications for the immunocompromised. The reasons for these viruses showing strict seasonality include but are not limited to the influence of cold weather and humidity on virus particles, human physiology, and human behavior. The relative importance of each is dependent on what geographic scale is being explored as well as the individual region and time period. Theoretical mathematics has also revealed that climatic changes are likely not the only reasons for strong seasonal cycles, but these are also based in periodic resonance with the natural cycles of immunity and antigenic variance, as well as nationwide synchrony through transportation networks. Investigations of seasonality will aid in understanding disease transmission, and thereby effective prevention strategies. The authors present a review of the literature on seasonal viruses, their annual diffusion through populations, and factors that reduce or enhance their seasonal spread. They also offer suggestions for targeted interventions to reduce the disease burden from seasonal viruses."
37964991,2023,Influenza and other respiratory viruses,10.1111/irv.13212,"Interactions among acute respiratory viruses in Beijing, Chongqing, Guangzhou, and Shanghai, China, 2009-2019.","A viral infection can modify the risk to subsequent viral infections via cross-protective immunity, increased immunopathology, or disease-driven behavioral change. There is limited understanding of virus-virus interactions due to lack of long-term population-level data. Our study leverages passive surveillance data of 10 human acute respiratory viruses from Beijing, Chongqing, Guangzhou, and Shanghai collected during 2009 to 2019: influenza A and B viruses; respiratory syncytial virus A and B; human parainfluenza virus (HPIV), adenovirus, metapneumovirus (HMPV), coronavirus, bocavirus (HBoV), and rhinovirus (HRV). We used a multivariate Bayesian hierarchical model to evaluate correlations in monthly prevalence of test-positive samples between virus pairs, adjusting for potential confounders. Of 101,643 lab-tested patients, 33,650 tested positive for any acute respiratory virus, and 4,113 were co-infected with multiple viruses. After adjusting for intrinsic seasonality, long-term trends and multiple comparisons, Bayesian multivariate modeling found positive correlations for HPIV/HRV in all cities and for HBoV/HRV and HBoV/HMPV in three cities. Models restricted to children further revealed statistically significant associations for another ten pairs in three of the four cities. In contrast, no consistent correlation across cities was found among adults. Most virus-virus interactions exhibited substantial spatial heterogeneity. There was strong evidence for interactions among common respiratory viruses in highly populated urban settings. Consistent positive interactions across multiple cities were observed in viruses known to typically infect children. Future intervention programs such as development of combination vaccines may consider spatially consistent virus-virus interactions for more effective control."
28231259,2017,PloS one,10.1371/journal.pone.0172550,Impact of seasonality and air pollutants on carotid-femoral pulse wave velocity and wave reflection in hypertensive patients.,"The effects of seasonality on blood pressure (BP) and cardiovascular (CV) events are well established, while the influence of seasonality and other environmental factors on arterial stiffness and wave reflection has never been analyzed. This study evaluated whether seasonality (daily number of hours of light) and acute variations in outdoor temperature and air pollutants may affect carotid-femoral pulse wave velocity (PWV) and pressure augmentation. 731 hypertensive patients (30-88 years, 417 treated) were enrolled in a cross-sectional study during a 5-year period. PWV, central BP, Augmentation Index (AIx) and Augmentation Pressure (AP) were measured in a temperature-controlled (22-24°C) room. Data of the local office of the National Climatic Data Observatory were used to estimate meteorological conditions and air pollutants (PM10, O3, CO, N2O) exposure on the same day. PWV (mean value 8.5±1.8 m/s) was related to age (r = 0.467, p<0.001), body mass index (r = 0.132, p<0.001), central systolic (r = 0.414, p<0.001) and diastolic BP (r = 0.093, p = 0.013), daylight hours (r = -0.176, p<0.001), mean outdoor temperature (r = -0.082, p = 0.027), O3 (r = -0.135, p<0.001), CO (r = 0.096, p = 0.012), N2O (r = 0.087, p = 0.022). In multiple linear regression analysis, adjusted for confounders, PWV remained independently associated only with daylight hours (β = -0.170; 95% CI: -0.273 to -0.067, p = 0.001). No significant correlation was found between pressure augmentation and daylight hours, mean temperature or air pollutants. The relationship was stronger in untreated patients and women. Furthermore, a positive, independent association between O3 levels and PWV emerged in untreated patients (β: 0.018; p = 0.029; CI: 0.002 to 0.034) and in women (β: 0.027; p = 0.004; CI: 0.009 to 0.045). PWV showed a marked seasonality in hypertensive patients. Environmental O3 levels may acutely reduce arterial stiffness in hypertensive women and in untreated patients."
38543769,2024,Viruses,10.3390/v16030404,Changes in Prevalence and Seasonality of Pathogens Identified in Acute Respiratory Tract Infections in Hospitalised Individuals in Rural and Urban Settings in South Africa; 2018-2022.,"Severe acute respiratory tract infections (SARIs) has been well described in South Africa with seasonal patterns described for influenza and respiratory syncytial virus (RSV), while others occur year-round (rhinovirus and adenovirus). This prospective syndromic hospital-based surveillance study describes the prevalence and impact of public interventions on the seasonality of other respiratory pathogens during the coronavirus disease-19 (COVID-19) pandemic. This occurred from August 2018 to April 2022, with 2595 patients who met the SARS case definition and 442 controls, from three sentinel urban and rural hospital sites in South Africa. Naso/oro-pharyngeal (NP/OP) swabs were tested using the FastTrack Diagnostics® Respiratory pathogens 33 (RUO) kit. Descriptive statistics, odds ratios, and univariate/multivariate analyses were used. Rhinovirus (14.80%, 228/1540) and Streptococcus pneumoniae (28.50%, 439/1540) were most frequently detected in NP/OP swabs and in children <1 years old (35%, 648/1876). Among others, pathogens associated with SARI cases causing disease were influenza A&B, HRV, RSV, hCoV 229e, Haemophilus influenzae, Staphylococcus aureus, and Streptococcus pneumoniae. Pre-COVID-19, seasonal trends of these pathogens correlated with previous years, with RSV and influenza A seasons only resuming after the national lockdown (2021). It is evident that stringent lockdown conditions have severe impacts on the prevalence of respiratory tract infections."
